image_lien,prix,type_habits,adresse
https://images.coinafrique.com/thumb_5390008_uploaded_image1_1750777634.jpg,8 000CFA,Vêtements pour homme,"Fann, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5388869_uploaded_image1_1750707151.jpg,10 000CFA,Abaya simple,"Dakar Plateau, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5388860_uploaded_image1_1750707013.jpg,10 000CFA,Abaya languette,"Dakar Plateau, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5388857_uploaded_image1_1750706864.jpg,20 000CFA,Chemise El-hadji bouton doré,"Dakar Plateau, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5340703_uploaded_image1_1747926660.jpg,25 000CFA,Dialaba,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5379374_uploaded_image1_1750189453.jpg,600CFA,Caleçons homme,"Parcelle Assainies, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5335983_uploaded_image1_1747682531.jpg,6 000CFA,Short homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5335976_uploaded_image1_1747682377.jpg,13 000CFA,Ensemble Lacoste  - Kaki,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5328829_uploaded_image1_1747292067.jpg,1 500CFA,Souve't ment,"Colobane, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5371023_uploaded_image2_1749727035.jpeg,850 000CFA,Ballot friperie,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5333594_uploaded_image1_1747550498.jpg,18 000CFA,Chemise,"Keur Massar, Sénégal"
https://images.coinafrique.com/thumb_5369347_uploaded_image1_1749639509.jpg,12 000CFA,Ensemble homme 3 piéces,"Parcelle Assainies, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5369345_uploaded_image1_1749639320.jpg,8 000CFA,Vêtement  homme,"Parcelle Assainies, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5369272_uploaded_image1_1749637388.jpg,15 000CFA,Pantalon Jean,"Mamelles, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5369213_uploaded_image1_1749635653.jpg,15 000CFA,Pantalon Jean,"Mamelles, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5344920_uploaded_image1_1748197678.jpg,70 000CFA,Costume africain,"Almadies 2, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5344910_uploaded_image1_1748197232.jpg,70 000CFA,Costume africain,"Almadies 2, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5344903_uploaded_image1_1748196689.jpg,70 000CFA,Costume africain,"Almadies 2, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5344887_uploaded_image1_1748196047.jpg,70 000CFA,Costume africain,"Almadies 2, Dakar, Sénégal"
https://images.coinafrique.com/thumb_5351562_uploaded_image1_1748560606.jpg,13 000CFA,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5351554_uploaded_image1_1748560284.jpg,13 000CFA,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357470_uploaded_image1_1748906567.jpg,14 000CFA,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357466_uploaded_image1_1748906493.jpg,Prix sur demande,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357459_uploaded_image1_1748906269.jpg,Prix sur demande,Lacoste,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357461_uploaded_image1_1748906332.jpg,Prix sur demande,Ensemble,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357457_uploaded_image1_1748906197.jpg,Prix sur demande,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357449_uploaded_image1_1748905981.jpg,3 500CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357430_uploaded_image1_1748905355.jpg,5 000CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357427_uploaded_image1_1748905276.jpg,6 500CFA,Lacoste homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357423_uploaded_image1_1748905074.jpg,13 000CFA,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357414_uploaded_image1_1748904730.jpg,7 000CFA,Cargo homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5357415_uploaded_image1_1748904812.jpg,5 000CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5362521_uploaded_image1_1749164209.jpg,Prix sur demande,Calsson coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5362524_uploaded_image1_1749164390.jpg,4 000CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5362523_uploaded_image1_1749164333.jpg,4 000CFA,T-shirt coton,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5362519_uploaded_image1_1749164046.jpg,13 000CFA,Ensemble homme,"Dakar, Sénégal"
https://images.coinafrique.com/thumb_5362515_uploaded_image1_1749163756.jpg,4 000CFA,T-shirt coton,"Dakar, Sénégal"
